,Case Created by hrs,Case Number
0,1,1.0
1,6,1.0
2,7,1.0
3,8,8.714285714285714
4,9,55.42857142857143
5,10,64.42857142857143
6,11,56.57142857142857
7,12,54.42857142857143
8,13,42.0
9,14,56.0
10,15,60.42857142857143
11,16,64.28571428571429
12,17,82.14285714285714
13,18,48.5
14,19,6.833333333333333
15,20,2.25
16,21,2.3333333333333335
17,22,1.5
18,23,1.5
19,24,1.0
