,dof_c_s,Case Number
0,Friday,38.13333333333333
1,Monday,66.57142857142857
2,Saturday,26.76923076923077
3,Sunday,8.818181818181818
4,Thursday,48.266666666666666
5,Tuesday,50.625
6,Wenesday,45.93333333333333
